"Otimo atendimento, recebí o produto, conforme solicitado. Recomendo.","2015-11-04 15:13:49"
"Gostei muito da compra, apenas a entrega me chateou um pouco, a caixa estava extremamente amassada.","2015-11-04 15:12:48"
"Facilidade na compra e entrega rápida","2015-11-04 15:17:59"
"idem ao lado.","2015-11-04 15:18:10"
"Show...","2015-11-04 15:18:43"
"ótimo","2015-11-04 15:21:53"
"Excelente atendimento.","2015-11-04 15:24:03"
"O frete chegou no tempo certo!! Sou fã desse site. :)","2015-11-04 15:24:50"
"Pedi 2 GG e veio 1 M e 1 GG. Perdi dinheiro.
Muito ruim a qualidade da calça.","2015-11-04 15:25:16"
"No set foi ótimo a compra","2015-11-04 15:25:29"
"Chegou  dentro do prazo ","2015-11-04 15:28:40"
"otimo","2015-11-04 15:28:43"
"Total confiabilidade e pontualidade, estou muito satisfeito em ter realizado a compra na GASÔMETRO. Produtos de ótima qualidade e a entrega realizada em tempo recorde, e com toda informação do trajeto do pedido pela loja até a entrega em minha residência.  ","2015-11-04 15:38:45"
"Loja muito atenciosa e honesta","2015-11-04 15:35:57"
"Muito boa e rápida. Atendeu todas as minhas expectativas.","2015-11-04 15:35:24"
"Adoro a marca :)","2015-11-04 15:35:51"
"OTIMO ","2015-11-04 15:36:57"
"Muito bom vendedor, dá todas as informações e acompanha atentamente na internet a entrega.","2015-11-04 15:37:55"
"Entrega bem rápida e tudo conforme o contratado! Recomendo!","2015-11-04 15:41:38"
"A compra foi muito fácil e tranquila, recebi o produto antes do tempo previsto.
grata
Ana","2015-11-04 15:41:50"
"Se preocupa com a satisfação do cliente, entregou o produto antes do prazo, aprovadíssima. Recomento a todos.","2015-11-04 15:43:07"
"Excelente, entrega foi super rápida e o produto exatamente como a descrição!","2015-11-04 15:43:35"
"concerteza se eu precisar de produtos comprarei dessa loja novamente","2015-11-04 15:43:58"
"Produtos de qualidade, entrega rápida.","2015-11-04 15:44:46"
"Entrega rápida. Parabéns.","2015-11-04 15:44:36"
"otimo","2015-11-04 15:46:36"
"ÓTIMO SERVIÇO, PRAZO DE ENTREGA CUMPRIDO , PRODUTO ÓTIMO , ANDAMENTO DO PASSO A PASSO DA COMPRA PERFEEITO E CONFIAVEL, RECOMENDO. PARANBENS A EMPRESA E A TODOS OS ATENDENTES PELO TELEFONE.FAZ A DIFEENÇA O RESPEITO PELO CONSUMIDOR DADO POR VOCES.","2015-11-04 15:50:18"
"comprarei de novo com certeza.","2015-11-04 17:34:07"
"Perfeito!!! Feliz com a compra.","2015-11-04 15:51:53"
"Site muito fácil de utilizar, cadastro rápido e entrega do produto antes do prazo determinado. Adorei!","2015-11-04 15:52:43"
"Boa loja, bons preços, recomendo!","2015-11-04 15:52:32"
"otimo","2015-11-04 15:52:28"
"Foi a única loja online onde consegui encontrar todos os itens de que precisava. E com preços muito bons!
O atendimento (por telefone) foi ligeiro e o envio da mesma forma. Recomendo a todos. Aproveito o espaço pra agradecer a Samatec.","2015-11-04 15:57:59"
"A COMPRA FOI TRANQUILA, PRAZO DE ENTREGA, OK , RECOMENDO!!!","2015-11-04 15:53:26"
"Achei linda, obrigada.","2015-11-04 15:54:12"
"Uma loja super confiável e correta","2015-11-04 15:55:00"
