"Bem atendido ótimo retorno e acompanhamento ","2015-10-22 20:25:26"
"Super atenciosos..","2015-10-22 20:27:55"
"recomendarei","2015-10-22 20:30:08"
" bem simples","2015-10-22 20:35:30"
"Amei a loja virtual, entrega rápida e responderam minhas dúvidas com a maior atenção.","2015-10-22 20:51:42"
"Está sendo a minha primeira compra e estou muito satisfeito.","2015-10-22 20:40:28"
"Excelente","2015-10-22 20:41:52"
"show de bola eu indico","2015-10-22 20:48:58"
"Comprei nun dia chegou no outro . super rapido.","2015-10-22 20:52:43"
"gostei muito e recomendo","2015-10-22 20:55:39"
"ÓTIMA!","2015-10-22 20:55:08"
"Bom, mas a cor ficou escura.","2015-10-22 20:58:46"
"Precisam melhorar na entrega. A Kodo demora muito na postagem e com isso atrasa na entrega. Comprei 2 vezes, e as 2 vezes chegou em atraso.","2015-10-22 21:00:50"
"muito bom
","2015-10-22 21:13:05"
"Gostei da compra que fiz pela loja, com certeza irei comprar mais vezes e recomendá-la a conhecidos. O produto veio todo embaladinho, chegou num prazo ok e enfim, nenhuma reclamação a respeito, só elogios. Obrigada!","2015-10-22 21:22:05"
"Simples de efetuar a compra e entrega rápida. Cumpriu o prazo. Ótimo","2015-10-22 21:19:02"
"Sem palavras confiança","2015-10-22 21:21:35"
"Exelente.","2015-10-22 21:25:51"
"Site de fácil navegação e rapidez de entrega do produto.","2015-10-22 21:23:54"
"Cumpre o que promete!!!! ","2015-10-22 21:25:11"
"Pontual e sem burocracia.","2015-10-22 21:26:16"
"Eu achei ótimo!","2015-10-22 21:33:35"
"compra efetuada sem nenhum problema","2015-10-22 21:39:51"
"adorei!","2015-10-22 21:41:24"
"Gostei...","2015-10-22 21:43:19"
"Muito bom! Ótimo atendimento, vendedoras simpáticas, que te oferecem opções. A calça é linda. Estou, como sempre, muito satisfeita com a Shoulder Iguatemi Brasília!","2015-10-22 21:47:05"
" Acheia muito boa.","2015-10-22 21:59:50"
"Chegou bem antes da data prevista.","2015-10-22 22:02:25"
"Ja fiz várias compras e tive sucesso em todas. Além do preço ser ótimo.","2015-10-22 22:12:03"
"bom","2015-10-22 22:11:59"
"otimo","2015-10-22 22:21:01"
"Incrível!! A vendedora Bruna é uma fofa!","2015-10-22 22:26:18"
"Tudo tranquilo! Envio rápido. ","2015-10-22 22:27:15"
"minha nota e 10","2015-10-22 22:28:26"
"excelente","2015-10-22 22:29:27"
"eu acho que eles deviam analisar as peças se são realmente dos modelos antes de venderem... chateado","2015-10-22 22:48:33"
"Muito boa, com certeza, recomendo.","2015-10-22 22:51:41"
"Melhor preço e ótimo atendimento.","2015-10-22 22:54:41"
"Perfeito. Veio ate antes do previsto, e vem muito bem embalado. ótima empresa.","2015-10-22 22:59:13"
"Já comprei muita coisa online e quase todas as lojas possuem o mesmo formato meia-boca. Este definitivamente não é o caso da PlayerID. A loja é muito bem feita e a preocupação com o usuário é evidente. Voltarei, com certeza. E indico fácil.","2015-10-22 23:04:59"
"eu recomendo, muito bom","2015-10-22 23:02:13"
"ótimo recomendo.","2015-10-22 23:04:04"
"Muito bom e pontual","2015-10-22 23:09:57"
"Confiança pura.","2015-10-22 23:10:20"
"Tive um problema de envio de produto errado q pra minha surpresa foi rapidamente resolvido e sem prejuízo algum. Fuu mto bem atendida e super recomendo a compra nesta loja. ","2015-10-22 23:15:13"
"Entrega rápida","2015-10-22 23:15:06"
"Eu achei bom ","2015-10-22 23:16:05"
"gostei muito... bem tranquilo e rápido","2015-10-22 23:24:27"
"Ótimo atendimento e entrega rápida.","2015-10-23 01:54:30"
"ótimo","2015-10-22 23:35:26"
"No início estava insegura, pois foi minha primeira compra pela internet, mais deu td certo, vou comprar sempre, super confiável, Parabéns!","2015-10-22 23:39:27"
"Muito bom comprar na Petvirtual ...pontualidade e rapidez na entrega ...","2015-10-22 23:46:07"
"Chegou no prazo previsto, igual da foto, recomendo =)



","2015-10-22 23:42:10"
"5","2015-10-22 23:41:53"
"excelente","2015-10-22 23:44:50"
"Muito facil e entrega rapida","2015-10-22 23:49:14"
"bom, recebi o produto corretamente.","2015-10-22 23:50:37"
"excelente loja recomendo","2015-10-22 23:54:17"
"Não gostei muito do produto, porém voltaria comprar na H20","2015-10-22 23:55:05"
"Entrega rápida e brindes!!! adorei os brindes!","2015-10-23 00:01:08"
"Eu amo o Boticário! ","2015-10-23 00:01:58"
"Otimo","2015-10-23 00:06:16"
"Fácil de comprar no site e maravilhoso o acompanhamento até a chegada do produto, que foi muito rápida. Agradável surpresa.","2015-10-23 00:08:52"
"Adorei!!!","2015-10-23 00:08:45"
"ENTREGA MUITO DEMORADA ULTRAPASSOU O TEMPO LIMITE.","2015-10-23 00:16:05"
"otimo","2015-10-23 00:17:18"
"Loja totalmente responsavel e aberta ao comprador, com um excelente pós-vendas.
Qualidade de atendimento.","2015-10-23 00:20:42"
"Entrega rápida, tudo conforme combinado, parabéns! Muito satisfeito!","2015-10-23 00:21:36"
"Ótimo.","2015-10-23 00:21:47"
"Perfeita...","2015-10-23 00:22:47"
