"OTIMO
","2015-11-19 14:19:18"
"A loja ainda merece destaque pelo ótimo preço e pelo atendimento.
Precisei tirar uma dúvida, já era de madrugada quando liguei e fui muito bem atendido.","2015-11-19 14:21:55"
"Otimo produto, igual a imagem ","2015-11-19 14:20:30"
"Rápido e veio direitinho","2015-11-19 14:21:23"
"As peças são maravilhosas e de excelente qualidade, mas a modelagem do tamanho P corresponde ao M, então são extremamente grandes e perdi várias peças na compra por causa disso.","2015-11-19 14:22:46"
"entrega no prazo, preço justo... loja especial","2015-11-19 14:23:12"
"Cumprem o que prometem, chegou no dia certo, atendimento perfeito, além de poder acompanhar seu pedido do inicio ao fim. ganharam mais um cliente.","2015-11-19 14:29:41"
"ótima qualidade e segurança na entrega.","2015-11-19 14:26:44"
"Ótima qualidade e rapidez na entrega.","2015-11-19 14:32:42"
"bom","2015-11-19 14:27:10"
"Excelente! Vou comprar a linha toda!","2015-11-19 14:27:53"
"ÓTIMO","2015-11-19 14:29:19"
"Recomendo a loja, foi a 1º compra que fiz pela internet e foi entregue direitinho e no prazo, até antes do que estava determinado. Concerteza irei comprar mais vezes. ","2015-11-19 14:37:19"
"Eu gostei bastante 
Entregou super rapdi","2015-11-19 14:29:29"
"Entrega rápida.","2015-11-19 14:29:53"
"Foi rápido e tranquilo comprar na dotcam pretendo comprar mais vezes.","2015-11-19 14:33:29"
"facil de acessar e encontrar oq precisa so o modo de pagamento não esta claro nem o numero de rastreio que vem em todas as encomendas ate as mais simples","2015-11-19 14:31:20"
"Excelente
","2015-11-19 14:30:45"
"CONFIANÇA, ENTREGA NO TEMPO INFORMADO!!! TUDO BEM EMBALADO!","2015-11-19 14:31:20"
"Ótima loja! Recomendo","2015-11-19 14:31:57"
"Excelente!!","2015-11-19 14:34:17"
"Gostei muito, entrega rápida, ótimos produtos e preço bom.","2015-11-19 14:36:02"
"entrega rápida , excelente loja recomendo sem duvidas .","2015-11-19 14:38:09"
"Cumpriu com prazo, gostei da experiência.","2015-11-19 14:42:28"
"a compra foi perfeita, entrega no prazo.só os kit que não gostei.","2015-11-19 14:44:06"
"Entrega rapida.","2015-11-19 14:43:25"
"otimo","2015-11-19 14:43:35"
"Ótima","2015-11-19 14:45:43"
"Compro sempre, e mmuito satisfeita todas as vezes.","2015-11-19 14:45:59"
"Eu, recomendo a entrega foi super rápida , produtos com embalagem bem protegidos. ","2015-11-19 14:47:49"
"Entrega antes do prazo e tudo em ordem e bem embalado.","2015-11-19 14:47:29"
"maravilhosa","2015-11-19 14:46:42"
"Entrega dentro do esperado e prometido.","2015-11-19 14:47:59"
"achei muito bom o atendimento, a entrega foi no prazo e consegui rastrear o pedido o tempo todo!!","2015-11-19 14:48:57"
".entrega no prazo sugerido .","2015-11-19 14:48:54"
"otima","2015-11-19 14:49:27"
"excelente ,site bem esclarecido !
","2015-11-19 14:50:17"
"Gosto da loja!! Nunca tive problemas.. 
Vou voltar a comprar.. e indicar para meus amigos. ","2015-11-19 14:54:51"
"ACHEI TUDO MUITO BOM.","2015-11-19 15:04:36"
"Altamente profissionais, recomendo ! ","2015-11-19 14:50:57"
"Rápido e sem problemas, muito bom.","2015-11-19 14:53:21"
"A princípio fiquei apreensiva de comprar nesse site, mas é seguro é de confiança. Recomendo!!!!Valeu a pena!!!","2015-11-19 14:53:48"
"Me surpreendeu!! Já havia feito outras compras e o nível de atendimento se mantém. Parabéns.","2015-11-19 14:57:39"
"Adorei, muito bom o site! Cumpriu os prazos conforme informações constantes no produto.
Indico esse site é maravilhoso.","2015-11-19 16:29:50"
"Excelente site, de muito fácil acesso... recomendo.","2015-11-19 14:59:44"
"EXCELENTE","2015-11-19 14:57:14"
"A remessa foi super rápida, e a  entrega foi dentro do prazo.","2015-11-19 14:57:50"
"A loja é  muito boa.. indico para todos! ","2015-11-19 15:00:19"
"Os produtos chegaram muito bem embalados.Recomendo.","2015-11-19 15:14:17"
"Na secção das calças jeans deveria ter mais informação sobre o tecido, se é fino ou mais encorpado com trama mais grossa, sem conhecer a marca fica impossível só por fotos ter noção da qualidade do tecido.","2015-11-19 15:25:08"
"Melhor compra que já efetuei no ML. Rapidez na entrega e produto OK.
Recomendo a todos do ML.","2015-11-19 15:06:44"
"Loja segura, cumpre os prazos excelente ","2015-11-19 15:08:34"
"Ótima empresa, entregou dentro do prazo e os produtos chegaram sem problemas. Com certeza farei as minhas próximas compras aqui. Amei! ","2015-11-19 15:09:09"
"GOSTEI MTO DO ATENDIMENTO MTO ATENCIOSOS","2015-11-19 15:09:33"
"Excelente. entrega rápida e não esqueceram o brinde.","2015-11-19 15:13:18"
"Rápidos e atenciosos","2015-11-19 15:10:14"
"otimo","2015-11-19 15:11:48"
"Sempre gostei muito da Época.","2015-11-19 15:12:34"
"Otimo","2015-11-19 15:12:57"
"otimo","2015-11-19 15:14:06"
"entregam rápido e sem problema","2015-11-19 15:15:36"
"Entrega rápida. ","2015-11-19 15:14:48"
"Tudo de bom","2015-11-19 15:15:27"
"O produto chegou com 2 dias de atrazo","2015-11-19 15:16:10"
"PELO SISTEMA INTERNET, MUITO FACIL A AQUISIÇÃODOS MATERIAIS.SISTEMA FACIL DE RASTREIO.","2015-11-19 15:19:18"
"Foi a primeira compra de muitas que ainda pretendo fazer. O site é ótimo, é fácil de comprar por ele, e o produto chegou na data correta e em perfeitas condições.","2015-11-19 15:24:08"
"Já comprei outra vez para meu marido e virei cliente. São rápidos no atendimento, atenciosos e prestativos, a comunicação por e-mail é perfeita. Os produtos são muito bons e eu indico com certeza.","2015-11-19 15:23:36"
"Ótimo site, super confiável, cumpri com a data prevista de entrega. Eu recomendo ","2015-11-19 15:28:03"
"A loja entregou meus produtos muito bem embalados e com muita rapidez. Recomendo.","2015-11-19 15:26:44"
"A loja é ótima! Não tive nenhum problema e os produtos ainda chegaram muito antes do previsto.","2015-11-19 15:25:02"
"Loja excelente, recomendo!","2015-11-19 15:25:20"
"otimoooo","2015-11-19 15:29:18"
"Ótimo atendimento, empresa séria !!,-)","2015-11-19 15:30:53"
"A entrega é rápida e segura!!! Tudo oereiti","2015-11-19 15:30:54"
"loja muito bom , eficiente, e mandou produtos corretamente","2015-11-19 15:32:57"
"Muita boa a empresa, chegou muito rápida a mercadoria, em menos tempo que o informado.","2015-11-19 15:33:32"
"Eu Amei o resultado da entrega!!
Chegou muito rápido,antes do prazo determinado!Adorei dotcam,parabéns.
com certeza, virei cliente fiel!
Parabéns!","2015-11-19 15:36:37"
"Tudo ok e rápido.","2015-11-19 15:34:21"
"Maravilhoso amei tudo de bom!","2015-11-19 15:34:55"
"Desta vez, uma decepção. Aguardando ainda o quadro...","2015-11-19 15:36:02"
"Entrega dos produtos antes do prazo, ótimo site de compras.","2015-11-19 15:37:35"
"Amei o produto e a forma de entrega. Foi minha primeira comprei e confesso que fiquei um pouco preocupada, mais superaram minhas expectativas. 
Estão de parabéns!!!","2015-11-19 15:38:34"
"Gostei muito.","2015-11-19 15:37:44"
"Otimo.","2015-11-19 15:37:54"
"Excelentes loja.","2015-11-19 15:42:41"
"Eu adorei!","2015-11-19 15:41:32"
"Muito boa compra. Produto em perfeito estado, prazo de entrega respeitado com bastante antecedência. Estou satisfeito em todos os sentidos. ","2015-11-19 15:43:20"
"Ótimo produto.","2015-11-19 15:46:42"
"Melhor preço do mercado , chegou seper bem embalado , super recomendo !!","2015-11-19 15:46:42"
"Bom","2015-11-19 15:47:48"
"Mto bom o produto, realmente ele é fantastico. A entrega foi super rapida.. chegou bem ates do prazo.","2015-11-19 15:52:07"
"A loja é bem atenciosa e responsável. Os produtos chegaram em ótimo estado.E as dúvidas que tive foram todas respondidas.","2015-11-19 16:00:15"
"Excelente.","2015-11-19 15:53:01"
"Achei muito bacana poder comprar sem passar por todo o calvário de criar uma conta na loja. Acho que pra melhorar poderiam mandar uns emails passando os status da compra. Ex.: Pedido faturado, nota expedida, entregue a transportadora, saiu pra entrega, etc..","2015-11-19 15:54:32"
"Melhor loja ❤️","2015-11-19 15:54:26"
"Muito bom atendimento excelência adorei ","2015-11-19 15:59:15"
"rapido","2015-11-19 15:56:33"
"Ruim porque o produto chegou alterado. Não queria pagar R$ 400,00 pra me incomodar. ","2015-11-19 15:57:13"
"Super rápido! Empresa séria! 
","2015-11-19 15:57:10"
"Eu achei muito prática e fácil e rápida.Gosto muito e com certeza comprarei novamente.","2015-11-19 15:59:59"
"Eu achei ótimo o produto e o atendimento.","2015-11-19 15:59:34"
"Primeira compra na loja, e fiquei muito satisfeita, destacando a agilidade na entrega.","2015-11-19 16:03:58"
"Chegou antes do prazo","2015-11-19 16:02:35"
"OTIMO","2015-11-19 16:02:50"
"Muito bom, no prazo certinho e tudo bem direitinho. Obrigada Madame Ninna. Com certeza comprarei outras em breve!","2015-11-19 16:07:32"
"Gostei muito, o produto chego rápido e a aplicação foi fácil. Estou satisfeita.","2015-11-19 16:09:20"
"Tudo certo! Entregou conforme combinado.","2015-11-19 16:08:58"
"Ótima loja, ótimos preços, só demora pra entregar :s Fora isso, muito boa!!","2015-11-19 16:09:56"
"já fiz varias compras na Samatec e recomendo 
Empresa seria ... 
os atendentes são especializados e tiram todas as duvidas ...prazo de entrega e respeitado ...
e os valores das peças são os melhores do mercado...
Recomendo..","2015-11-19 16:14:41"
"Experiência espetacular. Amo comprar neste site, agilidade, qualidade e pontualidade nas entregas de seus produtos. Parabéns a toda a equipe.","2015-11-19 16:16:12"
"Posso comprar de olhos fechados na DOT CAM Já realizei várias compras e estou super satisfeita com todas. Atendimento nota 10 e entrega rápida.
Indico para todas minhas amigas!","2015-11-19 16:16:18"
"Eu gostei muito to atendimento das atendentes, das sugestões, tanto que eu fui só para acompanhar a minha irmã para uma troca e acabei comprando.","2015-11-19 16:15:05"
"showww","2015-11-19 16:16:22"
"Excelente como sempre","2015-11-19 16:20:18"
"EU NUNCA TINHA COMPRADO NA DOTCAM, DE INICIO FIQUEI COM MEDO POIS AINDA NÃO A CONHECIA, EU AMEI COMPRAR AQUI PORQUE ALEM DO PRECINHO SER O MELHOR A ENTREGA E O ATENDIMENTO SÃO OS MELHORES.","2015-11-19 16:26:40"
"Veio na data prevista, tudo bem embalado.","2015-11-19 16:24:24"
"Ótima loja virtual, entregam dentro do prazo!","2015-11-19 16:24:27"
"Excelente atendimento","2015-11-19 16:26:25"
